OC;QTDE;MATERIAL;EAN;TEXTO BREVE;COR;TAMANHO;MAT.FORNCEDOR;RAZÃO SOCIAL;FORNECEDOR;COR FORNECEDOR;PREÇO LÍQ.;POR
4500655584;6;25205347005;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 26/27;ROSA;26/27;33780;GRENDENE S A;20001019;AF668;52,31;1
4500655584;6;25205347001;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 28;ROSA;28;33780;GRENDENE S A;20001019;AF668;52,31;1
4500655584;1;25205348001;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 17/18;AMARELO;17/18;33780;GRENDENE S A;20001019;AF669;52,31;1
4500655584;1;25205348005;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 19;AMARELO;19;33780;GRENDENE S A;20001019;AF669;52,31;1
4500655584;2;25205348002;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 20/21;AMARELO;20/21;33780;GRENDENE S A;20001019;AF669;52,31;1
4500655584;3;25205348006;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 22;AMARELO;22;33780;GRENDENE S A;20001019;AF669;52,31;1
4500655584;3;25205348003;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 23/24;AMARELO;23/24;33780;GRENDENE S A;20001019;AF669;52,31;1
4500655584;2;25205348007;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 25;AMARELO;25;33780;GRENDENE S A;20001019;AF669;52,31;1
4500655584;3;25205348004;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 26/27;AMARELO;26/27;33780;GRENDENE S A;20001019;AF669;52,31;1
4500655584;3;25205348008;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 28;AMARELO;28;33780;GRENDENE S A;20001019;AF669;52,31;1
4500655584;1;25205346001;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 17/18;PRETO;17/18;33780;GRENDENE S A;20001019;AF644;52,31;1
4500655584;1;25205346005;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 19;PRETO;19;33780;GRENDENE S A;20001019;AF644;52,31;1
4500655584;2;25205346002;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 20/21;PRETO;20/21;33780;GRENDENE S A;20001019;AF644;52,31;1
4500655584;3;25205346006;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 22;PRETO;22;33780;GRENDENE S A;20001019;AF644;52,31;1
4500655584;3;25205346003;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 23/24;PRETO;23/24;33780;GRENDENE S A;20001019;AF644;52,31;1
4500655584;2;25205346007;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 25;PRETO;25;33780;GRENDENE S A;20001019;AF644;52,31;1
4500655584;3;25205346004;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 26/27;PRETO;26/27;33780;GRENDENE S A;20001019;AF644;52,31;1
4500655584;3;25205346008;7,91E+12;Sandalia MINI MELISSA FRIENDLY BB, 28;PRETO;28;33780;GRENDENE S A;20001019;AF644;52,31;1
4500655584;1;24919942001;7,91E+12;Sandalia MINI MELISSA WAY BB, 17/18;AZUL;17/18;33666;GRENDENE S A;20001019;AF406;52,31;1
4500655584;1;24919942005;7,91E+12;Sandalia MINI MELISSA WAY BB, 19;AZUL;19;33666;GRENDENE S A;20001019;AF406;52,31;1
4500655584;2;24919942002;7,91E+12;Sandalia MINI MELISSA WAY BB, 20/21;AZUL;20/21;33666;GRENDENE S A;20001019;AF406;52,31;1
4500655584;3;24919942006;7,91E+12;Sandalia MINI MELISSA WAY BB, 22;AZUL;22;33666;GRENDENE S A;20001019;AF406;52,31;1
4500655584;3;24919942003;7,91E+12;Sandalia MINI MELISSA WAY BB, 23/24;AZUL;23/24;33666;GRENDENE S A;20001019;AF406;52,31;1
4500655584;2;24919942007;7,91E+12;Sandalia MINI MELISSA WAY BB, 25;AZUL;25;33666;GRENDENE S A;20001019;AF406;52,31;1
4500655584;3;24919942004;7,91E+12;Sandalia MINI MELISSA WAY BB, 26/27;AZUL;26/27;33666;GRENDENE S A;20001019;AF406;52,31;1
